participant,variant,text,accuracy,disfl,no,stimuli
Alina_Participant4,1,3,0.2,,,no
Alina_Participant4,1,4,0.9,,,no
Alina_Participant5,1,1,0.7,0.4,0.33,yes
Alina_Participant5,1,2,0.5,0.2,0.4,yes
Alina_Participant5,1,3,0.8,,,no
Alina_Participant5,1,4,0.8,,,no
Alina_Participant6,2,1,0.8,,,no
Alina_Participant6,2,2,0.6,,,no
Alina_Participant6,2,3,0.6,0.33,0.7,yes
Alina_Participant6,2,4,0.7,1,0.66,yes
Alina_Participant7,2,1,0.8,,,no
Alina_Participant7,2,2,0.2,,,no
Alina_Participant7,2,3,0.9,0.8,0.66,yes
Alina_Participant7,2,4,0.8,0.7,1,yes
Alina_Participant8,1,1,1,1,1,yes
Alina_Participant8,1,2,0.6,0.5,0.33,yes
Alina_Participant8,1,3,0.9,,,no
Alina_Participant8,1,4,0.8,,,no
Alina_Participant9,1,1,0.9,0.8,0.9,yes
Alina_Participant9,1,2,0.9,0.7,1,yes
Alina_Participant9,1,3,0.9,,,no
Alina_Participant9,1,4,0.9,,,no
Alina_Participant10,2,1,0.3,,,no
Alina_Participant10,2,2,0.2,,,no
Alina_Participant10,2,3,0.5,0.33,0.6,yes
Alina_Participant10,2,4,0.7,0.9,0.8,yes
Ayana_participant 1,2,1,0.66,,,no
Ayana_participant 1,2,2,1,,,no
Ayana_participant 1,2,3,0.8,0.8,0.8,yes
Ayana_participant 1,2,4,0.7,0.8,0.6,yes
Ayana_participant 2,1,1,0.25,0.33,0,yes
Ayana_participant 2,1,2,1,1,1,yes
Ayana_participant 2,1,3,1,,,no
Ayana_participant 2,1,4,0.8,,,no
Ayana_participant 3,1,1,0.41,0.44,0.33,yes
Ayana_participant 3,1,2,0.76,0.6,0.875,yes
Ayana_participant 3,1,3,0.8,,,no
Ayana_participant 3,1,4,0.8,,,no
Ayana_participant 4,1,1,0,0,0,yes
Ayana_participant 4,1,2,0.538,0.4,0.625,yes
Ayana_participant 4,1,3,0.4,,,no
Ayana_participant 4,1,4,0.7,,,no
Ayana_participant 5,2,1,0,,,no
Ayana_participant 5,2,2,0.385,,,no
Ayana_participant 5,2,3,0.7,0.8,0.6,yes
Ayana_participant 5,2,4,0.7,0.8,0.6,yes
Ayana_participant 6,1,1,0.15,0.11,0.33,yes
Ayana_participant 6,1,2,0.538,0.4,0.625,yes
Ayana_participant 6,1,3,0.8,,,no
Ayana_participant 6,1,4,0.6,,,no
Ayana_participant 7,2,1,0.5,,,no
Ayana_participant 7,2,2,0.769,,,no
Ayana_participant 7,2,3,0.9,0.8,1,yes
Ayana_participant 7,2,4,0.8,0.8,0.8,yes
Lazzat_number1,1,1,0.08,0.11,0,yes
Lazzat_number1,1,2,0.69,0.6,0.75,yes
Lazzat_number1,1,3,0.2,,,no
Lazzat_number1,1,4,0.7,,,no
Lazzat_number2,1,1,0.16,0.22,0,yes
Lazzat_number2,1,2,1,1,1,yes
Lazzat_number2,1,3,0.9,,,no
Lazzat_number2,1,4,0.8,,,no
Lazzat_number3,2,1,0.25,,,no
Lazzat_number3,2,2,0.76,,,no
Lazzat_number3,2,3,0.5,0.4,0.6,yes
Lazzat_number3,2,4,0.4,0.4,0.4,yes
Lazzat_number4,1,1,0.16,0.22,0,yes
Lazzat_number4,1,2,0.8,0.8,0.81,yes
Lazzat_number4,1,3,0.6,,,no
Lazzat_number4,1,4,0.45,,,no
Lazzat_number5,1,1,0.25,0.11,0.66,yes
Lazzat_number5,1,2,0.76,0.8,0.75,yes
Lazzat_number5,1,3,0.8,,,no
Lazzat_number5,1,4,0.6,,,no
Lazzat_number6,1,1,0.16,0.11,0.33,yes
Lazzat_number6,1,2,0.84,0.8,0.87,yes
Lazzat_number6,1,3,0.55,,,no
Lazzat_number6,1,4,0.7,,,no
Lazzat_number7,2,1,0.41,,,no
Lazzat_number7,2,2,0.76,,,no
Lazzat_number7,2,3,0.7,0.6,0.8,yes
Lazzat_number7,2,4,0.9,0.8,1,yes
Lazzat_number8,2,1,0.25,,,no
